GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
management,library.controllers,StatusReport,30,0,0,0,12,0,5,0,5,0
management,library.controllers,UserController,117,0,10,0,20,0,9,0,4,0
management,library.controllers,BooksController,45,0,2,0,9,0,7,0,6,0
management,library.controllers,TransactionController,211,0,20,0,55,0,14,0,4,0
management,library,App,38,0,0,0,11,0,5,0,5,0
management,library.utils.databaseOperations,DatabaseOperationInterface,0,2,0,0,0,1,0,1,0,1
management,library.utils.databaseOperations,DatabaseConnection,0,13,0,0,0,4,0,3,0,3
management,library.model.LibraryTransactions,LibraryTransaction,0,54,0,0,0,16,0,5,0,5
management,library.model.LibraryTransactions,CheckInTransaction,0,88,0,2,0,25,0,5,0,4
management,library.model.LibraryTransactions,BorrowTransaction,167,186,9,5,62,51,20,8,15,6
management,library.model.LibraryTransactions,Reservation,0,241,0,10,0,67,0,17,0,12
management,library.model.Users,Librarian,0,197,0,6,0,44,0,10,0,7
management,library.model.Users,Patron,0,246,0,10,0,53,0,12,0,7
management,library.model.Users,LibraryUser,0,115,0,2,0,40,0,17,0,16
management,library.utils.BorrowingQue,BorrowingQue,1,54,1,5,0,11,1,6,0,4
management,library.utils.sessions,LibrarianSession,0,8,0,0,0,4,0,3,0,3
management,library.model.LibraryResource,Genre,3,71,0,2,1,23,1,6,1,5
management,library.model.LibraryResource,LibraryResource,3,73,0,2,1,23,1,14,1,13
management,library.model.LibraryResource,Book,3,282,0,10,1,74,1,15,1,10
